start_time,end_time,duration
"2月 07, 2023 00:45","2月 07, 2023 08:22",7h 37m 0s
"2月 08, 2023 00:56","2月 08, 2023 08:18",7h 22m 13s
"2月 08, 2023 22:00","2月 09, 2023 07:08",9h 7m 21s
"2月 09, 2023 23:58","2月 10, 2023 08:18",8h 20m 33s
"2月 11, 2023 00:17","2月 11, 2023 10:57",10h 40m 11s
"2月 11, 2023 23:47","2月 12, 2023 08:51",9h 3m 53s
"2月 13, 2023 00:25","2月 13, 2023 08:30",8h 5m 50s
"2月 13, 2023 23:50","2月 14, 2023 08:18",8h 27m 58s
"2月 14, 2023 23:00","2月 15, 2023 08:15",9h 15m 32s
"2月 16, 2023 00:06","2月 16, 2023 08:27",8h 20m 37s
"2月 17, 2023 01:01","2月 17, 2023 08:23",7h 22m 9s
"2月 17, 2023 23:53","2月 18, 2023 11:28",11h 35m 2s
"2月 19, 2023 00:21","2月 19, 2023 09:35",9h 14m 0s
"2月 20, 2023 00:22","2月 20, 2023 08:26",8h 3m 27s
"2月 20, 2023 23:20","2月 21, 2023 07:14",7h 54m 3s
"2月 22, 2023 00:18","2月 22, 2023 08:30",8h 11m 44s
"2月 22, 2023 23:37","2月 23, 2023 08:23",8h 46m 7s
"2月 23, 2023 22:54","2月 24, 2023 07:26",8h 31m 45s
"2月 24, 2023 21:48","2月 25, 2023 03:43",5h 55m 23s
"2月 25, 2023 16:17","2月 25, 2023 18:00",1h 42m 56s
"2月 25, 2023 22:01","2月 26, 2023 08:59",10h 57m 50s
"2月 26, 2023 10:30","2月 26, 2023 11:32",1h 2m 0s
"2月 27, 2023 00:30","2月 27, 2023 08:09",7h 39m 0s
"2月 28, 2023 00:14","2月 28, 2023 08:33",8h 19m 0s
"2月 28, 2023 23:17","3月 01, 2023 07:16",7h 59m 4s
"9月 01, 2022 03:00","9月 01, 2022 09:55",6h 55m 30s
"9月 02, 2022 01:57","9月 02, 2022 11:54",9h 57m 8s
"9月 03, 2022 02:30","9月 03, 2022 11:20",8h 50m 0s
"9月 04, 2022 02:19","9月 04, 2022 13:06",10h 46m 22s
"9月 05, 2022 03:06","9月 05, 2022 11:29",8h 23m 5s
"9月 06, 2022 02:21","9月 06, 2022 11:16",8h 55m 2s
"9月 07, 2022 03:50","9月 07, 2022 09:41",5h 50m 32s
"9月 07, 2022 21:30","9月 07, 2022 22:30",1h 0m 0s
"9月 08, 2022 04:50","9月 08, 2022 11:10",6h 19m 44s
"9月 09, 2022 03:46","9月 09, 2022 09:46",6h 0m 0s
"9月 10, 2022 02:41","9月 10, 2022 10:22",7h 41m 9s
"9月 11, 2022 01:13","9月 11, 2022 08:13",6h 59m 40s
"9月 12, 2022 02:18","9月 12, 2022 10:43",8h 25m 34s
"9月 13, 2022 02:11","9月 13, 2022 11:21",9h 10m 6s
"9月 14, 2022 02:15","9月 14, 2022 09:28",7h 12m 55s
"9月 15, 2022 01:14","9月 15, 2022 08:56",7h 41m 58s
"9月 15, 2022 12:45","9月 15, 2022 16:04",3h 19m 2s
"9月 16, 2022 03:50","9月 16, 2022 11:32",7h 41m 36s
"9月 17, 2022 02:48","9月 17, 2022 10:49",8h 0m 45s
"9月 18, 2022 02:07","9月 18, 2022 08:57",6h 50m 37s
"9月 19, 2022 02:42","9月 19, 2022 08:48",6h 5m 49s
"9月 20, 2022 02:50","9月 20, 2022 12:42",9h 52m 18s
"9月 21, 2022 02:31","9月 21, 2022 08:19",5h 47m 10s
"9月 21, 2022 08:45","9月 21, 2022 11:58",3h 12m 20s
"9月 22, 2022 03:40","9月 22, 2022 10:53",7h 12m 50s
"9月 23, 2022 00:54","9月 23, 2022 09:25",8h 31m 15s
"9月 23, 2022 23:10","9月 24, 2022 06:02",6h 51m 30s
"9月 24, 2022 21:00","9月 25, 2022 00:20",3h 20m 1s
"9月 25, 2022 01:56","9月 25, 2022 09:51",7h 54m 28s
"9月 26, 2022 04:24","9月 26, 2022 11:30",7h 5m 49s
"9月 27, 2022 01:32","9月 27, 2022 08:03",6h 30m 47s
"9月 27, 2022 10:08","9月 27, 2022 12:04",1h 56m 28s
"9月 28, 2022 01:20","9月 28, 2022 11:09",9h 49m 45s
"9月 29, 2022 03:10","9月 29, 2022 11:09",7h 58m 47s
"9月 30, 2022 01:28","9月 30, 2022 09:58",8h 30m 37s
"9月 30, 2022 21:55","10月 01, 2022 05:07",7h 12m 38s
